Datetime,C,T,Time,Date
03/14/2004 15:00:00,1.9,21.9,15:00:00,2004-03-14
03/14/2004 16:00:00,3,22.2,16:00:00,2004-03-14
03/14/2004 17:00:00,2.9,21.3,17:00:00,2004-03-14
03/14/2004 18:00:00,2.5,19.7,18:00:00,2004-03-14
03/14/2004 19:00:00,4.6,18.4,19:00:00,2004-03-14
03/14/2004 20:00:00,5.9,17.6,20:00:00,2004-03-14
03/14/2004 21:00:00,3.4,16.7,21:00:00,2004-03-14
03/14/2004 22:00:00,2.1,16.3,22:00:00,2004-03-14
03/14/2004 23:00:00,2.2,14.7,23:00:00,2004-03-14
03/15/2004 00:00:00,1.8,14.8,00:00:00,2004-03-15
03/15/2004 01:00:00,1.8,14,01:00:00,2004-03-15
03/15/2004 02:00:00,1.8,13.4,02:00:00,2004-03-15
03/15/2004 03:00:00,1.1,12.6,03:00:00,2004-03-15
03/15/2004 04:00:00,-200,12.3,04:00:00,2004-03-15
03/15/2004 05:00:00,1,11.9,05:00:00,2004-03-15
03/15/2004 06:00:00,1.4,11.4,06:00:00,2004-03-15
03/15/2004 07:00:00,2.2,11.3,07:00:00,2004-03-15
03/15/2004 08:00:00,5.5,12.4,08:00:00,2004-03-15
03/15/2004 09:00:00,8.1,14.8,09:00:00,2004-03-15
03/15/2004 10:00:00,5.8,17.4,10:00:00,2004-03-15
03/15/2004 11:00:00,4.2,19.8,11:00:00,2004-03-15
03/15/2004 12:00:00,3.1,22,12:00:00,2004-03-15
03/15/2004 13:00:00,2.9,23.3,13:00:00,2004-03-15
03/15/2004 14:00:00,2.9,23.9,14:00:00,2004-03-15
03/15/2004 15:00:00,2.5,24.4,15:00:00,2004-03-15
03/15/2004 16:00:00,2.3,24.4,16:00:00,2004-03-15
03/15/2004 17:00:00,2.8,23.8,17:00:00,2004-03-15
03/15/2004 18:00:00,6.1,22.5,18:00:00,2004-03-15
03/15/2004 19:00:00,8,20.4,19:00:00,2004-03-15
03/15/2004 20:00:00,6.5,18.3,20:00:00,2004-03-15
03/15/2004 21:00:00,4.2,16.7,21:00:00,2004-03-15
03/15/2004 22:00:00,3.2,15.7,22:00:00,2004-03-15
03/15/2004 23:00:00,1.4,15.3,23:00:00,2004-03-15
03/16/2004 00:00:00,2.1,14.1,00:00:00,2004-03-16
03/16/2004 01:00:00,1.2,14.8,01:00:00,2004-03-16
03/16/2004 02:00:00,0.8,14.8,02:00:00,2004-03-16
03/16/2004 03:00:00,0.7,13.6,03:00:00,2004-03-16
03/16/2004 04:00:00,-200,12.3,04:00:00,2004-03-16
03/16/2004 05:00:00,0.6,12.8,05:00:00,2004-03-16
03/16/2004 06:00:00,0.9,11.2,06:00:00,2004-03-16
03/16/2004 07:00:00,1.3,11,07:00:00,2004-03-16
03/16/2004 08:00:00,3.4,11.7,08:00:00,2004-03-16
03/16/2004 09:00:00,3.7,13.6,09:00:00,2004-03-16
03/16/2004 10:00:00,5.3,17.8,10:00:00,2004-03-16
03/16/2004 11:00:00,4.1,21.4,11:00:00,2004-03-16
03/16/2004 12:00:00,3.3,24.4,12:00:00,2004-03-16
03/16/2004 13:00:00,4,25.3,13:00:00,2004-03-16
03/16/2004 14:00:00,3.8,25.8,14:00:00,2004-03-16
03/16/2004 15:00:00,2.8,27,15:00:00,2004-03-16
03/16/2004 16:00:00,2.9,28.2,16:00:00,2004-03-16
03/16/2004 17:00:00,2.9,28,17:00:00,2004-03-16
03/16/2004 18:00:00,3.4,23.9,18:00:00,2004-03-16
03/16/2004 19:00:00,3.9,21.3,19:00:00,2004-03-16
03/16/2004 20:00:00,3.2,20.4,20:00:00,2004-03-16
03/16/2004 21:00:00,5.1,19,21:00:00,2004-03-16
03/16/2004 22:00:00,2.6,17.9,22:00:00,2004-03-16
03/16/2004 23:00:00,1.7,16.7,23:00:00,2004-03-16
03/17/2004 00:00:00,1.7,15.5,00:00:00,2004-03-17
03/17/2004 01:00:00,1.2,15.5,01:00:00,2004-03-17
03/17/2004 02:00:00,0.9,14.1,02:00:00,2004-03-17
03/17/2004 03:00:00,0.7,13.1,03:00:00,2004-03-17
03/17/2004 04:00:00,-200,12.7,04:00:00,2004-03-17
03/17/2004 05:00:00,0.5,11.8,05:00:00,2004-03-17
03/17/2004 06:00:00,0.5,11.9,06:00:00,2004-03-17
03/17/2004 07:00:00,1.6,9.9,07:00:00,2004-03-17
03/17/2004 08:00:00,4.1,11.1,08:00:00,2004-03-17
03/17/2004 09:00:00,6.6,14.1,09:00:00,2004-03-17
03/17/2004 10:00:00,4.3,17.7,10:00:00,2004-03-17
03/17/2004 11:00:00,2.9,21.1,11:00:00,2004-03-17
03/17/2004 12:00:00,2.5,24.3,12:00:00,2004-03-17
03/17/2004 13:00:00,2.8,25.6,13:00:00,2004-03-17
03/17/2004 14:00:00,2.6,25.9,14:00:00,2004-03-17
03/17/2004 15:00:00,2,26.8,15:00:00,2004-03-17
03/17/2004 16:00:00,2.9,29.3,16:00:00,2004-03-17
03/17/2004 17:00:00,2.5,28.5,17:00:00,2004-03-17
03/17/2004 18:00:00,5,25.9,18:00:00,2004-03-17
03/17/2004 19:00:00,7.6,23.1,19:00:00,2004-03-17
03/17/2004 20:00:00,6.7,20.5,20:00:00,2004-03-17
03/17/2004 21:00:00,5.7,19.1,21:00:00,2004-03-17
03/17/2004 22:00:00,2.8,17.2,22:00:00,2004-03-17
03/17/2004 23:00:00,2.6,16,23:00:00,2004-03-17
03/18/2004 00:00:00,2.3,14.8,00:00:00,2004-03-18
03/18/2004 01:00:00,1.4,14.3,01:00:00,2004-03-18
03/18/2004 02:00:00,1,14.8,02:00:00,2004-03-18
03/18/2004 03:00:00,0.7,13.9,03:00:00,2004-03-18
03/18/2004 04:00:00,-200,11.6,04:00:00,2004-03-18
03/18/2004 05:00:00,0.6,12,05:00:00,2004-03-18
03/18/2004 06:00:00,0.7,10.9,06:00:00,2004-03-18
03/18/2004 07:00:00,1.5,10.6,07:00:00,2004-03-18
03/18/2004 08:00:00,4.7,11.5,08:00:00,2004-03-18
03/18/2004 09:00:00,6.6,14.3,09:00:00,2004-03-18
03/18/2004 10:00:00,4.5,17.8,10:00:00,2004-03-18
03/18/2004 11:00:00,2.8,20.8,11:00:00,2004-03-18
03/18/2004 12:00:00,2.2,23.8,12:00:00,2004-03-18
03/18/2004 13:00:00,2.2,24.2,13:00:00,2004-03-18
03/18/2004 14:00:00,2.3,25.2,14:00:00,2004-03-18
03/18/2004 15:00:00,2.2,27,15:00:00,2004-03-18
03/18/2004 16:00:00,2.8,27.1,16:00:00,2004-03-18
03/18/2004 17:00:00,2.7,25.8,17:00:00,2004-03-18
03/18/2004 18:00:00,3.7,23,18:00:00,2004-03-18
03/18/2004 19:00:00,5.1,20.7,19:00:00,2004-03-18
03/18/2004 20:00:00,5.1,18.6,20:00:00,2004-03-18
03/18/2004 21:00:00,3.2,16,21:00:00,2004-03-18
03/18/2004 22:00:00,2.1,14.5,22:00:00,2004-03-18
03/18/2004 23:00:00,1.7,13.1,23:00:00,2004-03-18
03/19/2004 00:00:00,2,12,00:00:00,2004-03-19
03/19/2004 01:00:00,1.6,11.9,01:00:00,2004-03-19
03/19/2004 02:00:00,0.9,12.5,02:00:00,2004-03-19
03/19/2004 03:00:00,0.7,12.5,03:00:00,2004-03-19
03/19/2004 04:00:00,-200,12.3,04:00:00,2004-03-19
03/19/2004 05:00:00,0.5,12.5,05:00:00,2004-03-19
03/19/2004 06:00:00,0.7,12.3,06:00:00,2004-03-19
03/19/2004 07:00:00,1.5,12.4,07:00:00,2004-03-19
03/19/2004 08:00:00,4.8,13,08:00:00,2004-03-19
03/19/2004 09:00:00,6.2,13.6,09:00:00,2004-03-19
03/19/2004 10:00:00,4,13.9,10:00:00,2004-03-19
03/19/2004 11:00:00,3.3,14.5,11:00:00,2004-03-19
03/19/2004 12:00:00,2.8,15.5,12:00:00,2004-03-19
03/19/2004 13:00:00,3,16.1,13:00:00,2004-03-19
03/19/2004 14:00:00,3.3,16.3,14:00:00,2004-03-19
03/19/2004 15:00:00,3.5,16.4,15:00:00,2004-03-19
03/19/2004 16:00:00,4,16.1,16:00:00,2004-03-19
03/19/2004 17:00:00,4.6,16,17:00:00,2004-03-19
03/19/2004 18:00:00,4.1,15.8,18:00:00,2004-03-19
03/19/2004 19:00:00,4.5,15.5,19:00:00,2004-03-19
03/19/2004 20:00:00,3.9,15.4,20:00:00,2004-03-19
03/19/2004 21:00:00,4,15.2,21:00:00,2004-03-19
03/19/2004 22:00:00,2.2,14.7,22:00:00,2004-03-19
03/19/2004 23:00:00,2.1,14.2,23:00:00,2004-03-19
03/20/2004 00:00:00,1.7,13.8,00:00:00,2004-03-20
03/20/2004 01:00:00,1.6,13.9,01:00:00,2004-03-20
03/20/2004 02:00:00,1.3,13.9,02:00:00,2004-03-20
03/20/2004 03:00:00,1.3,13.8,03:00:00,2004-03-20
03/20/2004 04:00:00,-200,13.8,04:00:00,2004-03-20
03/20/2004 05:00:00,0.8,13.6,05:00:00,2004-03-20
03/20/2004 06:00:00,0.8,13.6,06:00:00,2004-03-20
03/20/2004 07:00:00,1.1,13.5,07:00:00,2004-03-20
03/20/2004 08:00:00,2.1,13.8,08:00:00,2004-03-20
03/20/2004 09:00:00,2.4,14.6,09:00:00,2004-03-20
03/20/2004 10:00:00,2.6,15,10:00:00,2004-03-20
03/20/2004 11:00:00,2.8,15.4,11:00:00,2004-03-20
03/20/2004 12:00:00,2.6,16.3,12:00:00,2004-03-20
03/20/2004 13:00:00,2.6,17.1,13:00:00,2004-03-20
03/20/2004 14:00:00,2.1,19,14:00:00,2004-03-20
03/20/2004 15:00:00,1.7,19.5,15:00:00,2004-03-20
03/20/2004 16:00:00,1.6,19.5,16:00:00,2004-03-20
03/20/2004 17:00:00,2.1,19.1,17:00:00,2004-03-20
03/20/2004 18:00:00,2.3,18.5,18:00:00,2004-03-20
03/20/2004 19:00:00,3.5,17.4,19:00:00,2004-03-20
03/20/2004 20:00:00,3.9,17.1,20:00:00,2004-03-20
03/20/2004 21:00:00,3.3,16.4,21:00:00,2004-03-20
03/20/2004 22:00:00,2.3,16.2,22:00:00,2004-03-20
03/20/2004 23:00:00,2.1,15.9,23:00:00,2004-03-20
03/21/2004 00:00:00,2.8,15.7,00:00:00,2004-03-21
03/21/2004 01:00:00,2.1,15.1,01:00:00,2004-03-21
03/21/2004 02:00:00,1.6,15.6,02:00:00,2004-03-21
03/21/2004 03:00:00,1.6,15.2,03:00:00,2004-03-21
03/21/2004 04:00:00,-200,15.4,04:00:00,2004-03-21
03/21/2004 05:00:00,1.1,14.9,05:00:00,2004-03-21
03/21/2004 06:00:00,0.7,14.5,06:00:00,2004-03-21
03/21/2004 07:00:00,0.8,14.2,07:00:00,2004-03-21
03/21/2004 08:00:00,1.2,14.5,08:00:00,2004-03-21
03/21/2004 09:00:00,1.4,15.3,09:00:00,2004-03-21
03/21/2004 10:00:00,1.7,16.3,10:00:00,2004-03-21
03/21/2004 11:00:00,1.8,18.9,11:00:00,2004-03-21
03/21/2004 12:00:00,1.8,19.4,12:00:00,2004-03-21
03/21/2004 13:00:00,1.9,20.8,13:00:00,2004-03-21
03/21/2004 14:00:00,1.3,21.4,14:00:00,2004-03-21
03/21/2004 15:00:00,1.6,21.2,15:00:00,2004-03-21
03/21/2004 16:00:00,1.9,20.3,16:00:00,2004-03-21
03/21/2004 17:00:00,2.3,19.4,17:00:00,2004-03-21
03/21/2004 18:00:00,3.8,18.5,18:00:00,2004-03-21
03/21/2004 19:00:00,3.5,17.8,19:00:00,2004-03-21
03/21/2004 20:00:00,4.3,17.9,20:00:00,2004-03-21
03/21/2004 21:00:00,2.8,17.4,21:00:00,2004-03-21
03/21/2004 22:00:00,1.9,17,22:00:00,2004-03-21
03/21/2004 23:00:00,1.9,16.4,23:00:00,2004-03-21
03/22/2004 00:00:00,1.7,16.1,00:00:00,2004-03-22
03/22/2004 01:00:00,1.5,15.8,01:00:00,2004-03-22
03/22/2004 02:00:00,0.6,16.3,02:00:00,2004-03-22
03/22/2004 03:00:00,0.4,16.9,03:00:00,2004-03-22
03/22/2004 04:00:00,-200,16.1,04:00:00,2004-03-22
03/22/2004 05:00:00,0.3,16.5,05:00:00,2004-03-22
03/22/2004 06:00:00,0.6,16.4,06:00:00,2004-03-22
03/22/2004 07:00:00,1.2,15.7,07:00:00,2004-03-22
03/22/2004 08:00:00,3.6,15.8,08:00:00,2004-03-22
03/22/2004 09:00:00,3.7,17.4,09:00:00,2004-03-22
03/22/2004 10:00:00,1.8,17.9,10:00:00,2004-03-22
03/22/2004 11:00:00,1.6,18.5,11:00:00,2004-03-22
03/22/2004 12:00:00,1.9,21,12:00:00,2004-03-22
03/22/2004 13:00:00,2,21.3,13:00:00,2004-03-22
03/22/2004 14:00:00,2.2,21.3,14:00:00,2004-03-22
03/22/2004 15:00:00,2.1,21.3,15:00:00,2004-03-22
03/22/2004 16:00:00,2.3,21.3,16:00:00,2004-03-22
03/22/2004 17:00:00,2.6,20.2,17:00:00,2004-03-22
03/22/2004 18:00:00,3.8,17,18:00:00,2004-03-22
03/22/2004 19:00:00,4.4,15.6,19:00:00,2004-03-22
03/22/2004 20:00:00,4.5,15.3,20:00:00,2004-03-22
03/22/2004 21:00:00,3.3,14.5,21:00:00,2004-03-22
03/22/2004 22:00:00,2,13.9,22:00:00,2004-03-22
03/22/2004 23:00:00,1.1,14.5,23:00:00,2004-03-22
03/23/2004 00:00:00,0.9,13.8,00:00:00,2004-03-23
03/23/2004 01:00:00,0.8,14,01:00:00,2004-03-23
03/23/2004 02:00:00,0.7,13,02:00:00,2004-03-23
03/23/2004 03:00:00,0.5,11,03:00:00,2004-03-23
03/23/2004 04:00:00,-200,10.1,04:00:00,2004-03-23
03/23/2004 05:00:00,0.3,8.8,05:00:00,2004-03-23
03/23/2004 06:00:00,0.5,9.6,06:00:00,2004-03-23
03/23/2004 07:00:00,1.1,9.8,07:00:00,2004-03-23
03/23/2004 08:00:00,3,10,08:00:00,2004-03-23
03/23/2004 09:00:00,3.8,11.2,09:00:00,2004-03-23
03/23/2004 10:00:00,3.4,12,10:00:00,2004-03-23
03/23/2004 11:00:00,3,12.8,11:00:00,2004-03-23
03/23/2004 12:00:00,2.7,13.1,12:00:00,2004-03-23
03/23/2004 13:00:00,3.5,13.8,13:00:00,2004-03-23
03/23/2004 14:00:00,2.8,16,14:00:00,2004-03-23
03/23/2004 15:00:00,1.9,14.1,15:00:00,2004-03-23
03/23/2004 16:00:00,2,12,16:00:00,2004-03-23
03/23/2004 17:00:00,3,13.6,17:00:00,2004-03-23
03/23/2004 18:00:00,1.9,13.7,18:00:00,2004-03-23
03/23/2004 19:00:00,2.7,11.7,19:00:00,2004-03-23
03/23/2004 20:00:00,3.3,11.5,20:00:00,2004-03-23
03/23/2004 21:00:00,1.7,12.6,21:00:00,2004-03-23
03/23/2004 22:00:00,1.3,12,22:00:00,2004-03-23
03/23/2004 23:00:00,1.3,11,23:00:00,2004-03-23
03/24/2004 00:00:00,1.2,11.1,00:00:00,2004-03-24
03/24/2004 01:00:00,1.1,10.8,01:00:00,2004-03-24
03/24/2004 02:00:00,0.9,11.3,02:00:00,2004-03-24
03/24/2004 03:00:00,0.6,10.6,03:00:00,2004-03-24
03/24/2004 04:00:00,-200,10.2,04:00:00,2004-03-24
03/24/2004 05:00:00,0.6,10.9,05:00:00,2004-03-24
03/24/2004 06:00:00,0.8,10.8,06:00:00,2004-03-24
03/24/2004 07:00:00,1.2,10.4,07:00:00,2004-03-24
03/24/2004 08:00:00,3.1,11,08:00:00,2004-03-24
03/24/2004 09:00:00,4.4,11.2,09:00:00,2004-03-24
03/24/2004 10:00:00,3.4,12.1,10:00:00,2004-03-24
03/24/2004 11:00:00,1.7,15.1,11:00:00,2004-03-24
03/24/2004 12:00:00,1.5,15.6,12:00:00,2004-03-24
03/24/2004 13:00:00,1.7,16.9,13:00:00,2004-03-24
03/24/2004 14:00:00,2.2,16.6,14:00:00,2004-03-24
03/24/2004 15:00:00,-200,11.3,15:00:00,2004-03-24
03/24/2004 16:00:00,2.7,9.6,16:00:00,2004-03-24
03/24/2004 17:00:00,2.8,11.7,17:00:00,2004-03-24
03/24/2004 18:00:00,2.7,10.7,18:00:00,2004-03-24
03/24/2004 19:00:00,4.5,10.7,19:00:00,2004-03-24
03/24/2004 20:00:00,3.5,10.8,20:00:00,2004-03-24
03/24/2004 21:00:00,2.6,10.3,21:00:00,2004-03-24
03/24/2004 22:00:00,1.7,10.1,22:00:00,2004-03-24
03/24/2004 23:00:00,1.3,10.4,23:00:00,2004-03-24
03/25/2004 00:00:00,1.3,10.3,00:00:00,2004-03-25
03/25/2004 01:00:00,1,11,01:00:00,2004-03-25
03/25/2004 02:00:00,0.7,9.1,02:00:00,2004-03-25
03/25/2004 03:00:00,0.7,9.5,03:00:00,2004-03-25
03/25/2004 04:00:00,0.5,9.3,04:00:00,2004-03-25
03/25/2004 05:00:00,0.5,9.9,05:00:00,2004-03-25
03/25/2004 06:00:00,0.6,7.6,06:00:00,2004-03-25
03/25/2004 07:00:00,1.1,8.1,07:00:00,2004-03-25
03/25/2004 08:00:00,2.7,8.7,08:00:00,2004-03-25
03/25/2004 09:00:00,3.5,8.6,09:00:00,2004-03-25
03/25/2004 10:00:00,2.3,9.7,10:00:00,2004-03-25
03/25/2004 11:00:00,1.6,11,11:00:00,2004-03-25
03/25/2004 12:00:00,1.3,13.6,12:00:00,2004-03-25
03/25/2004 13:00:00,2,14.2,13:00:00,2004-03-25
03/25/2004 14:00:00,1.9,14.2,14:00:00,2004-03-25
03/25/2004 15:00:00,1.9,16,15:00:00,2004-03-25
03/25/2004 16:00:00,2.2,17.7,16:00:00,2004-03-25
03/25/2004 17:00:00,2,17.1,17:00:00,2004-03-25
03/25/2004 18:00:00,2.9,14.9,18:00:00,2004-03-25
03/25/2004 19:00:00,5.2,13.4,19:00:00,2004-03-25
03/25/2004 20:00:00,4.6,12.6,20:00:00,2004-03-25
03/25/2004 21:00:00,2.5,12.2,21:00:00,2004-03-25
03/25/2004 22:00:00,1.5,10.6,22:00:00,2004-03-25
03/25/2004 23:00:00,1.2,9.9,23:00:00,2004-03-25
03/26/2004 00:00:00,1.7,9.6,00:00:00,2004-03-26
03/26/2004 01:00:00,1.4,9.7,01:00:00,2004-03-26
03/26/2004 02:00:00,1.2,9.4,02:00:00,2004-03-26
03/26/2004 03:00:00,0.6,8.2,03:00:00,2004-03-26
03/26/2004 04:00:00,0.7,8,04:00:00,2004-03-26
03/26/2004 05:00:00,0.8,7.7,05:00:00,2004-03-26
03/26/2004 06:00:00,0.9,8,06:00:00,2004-03-26
03/26/2004 07:00:00,1.6,8.5,07:00:00,2004-03-26
03/26/2004 08:00:00,3.4,9.8,08:00:00,2004-03-26
03/26/2004 09:00:00,3.8,11.2,09:00:00,2004-03-26
03/26/2004 10:00:00,3.1,14.8,10:00:00,2004-03-26
03/26/2004 11:00:00,2.7,16.8,11:00:00,2004-03-26
03/26/2004 12:00:00,2,19.2,12:00:00,2004-03-26
03/26/2004 13:00:00,2.3,19.1,13:00:00,2004-03-26
03/26/2004 14:00:00,1.9,16.3,14:00:00,2004-03-26
03/26/2004 15:00:00,1.3,14.2,15:00:00,2004-03-26
03/26/2004 16:00:00,1.9,13.4,16:00:00,2004-03-26
03/26/2004 17:00:00,2.3,14.2,17:00:00,2004-03-26
03/26/2004 18:00:00,2.4,12.1,18:00:00,2004-03-26
03/26/2004 19:00:00,2.7,10.4,19:00:00,2004-03-26
03/26/2004 20:00:00,2.6,10,20:00:00,2004-03-26
03/26/2004 21:00:00,1.5,9.8,21:00:00,2004-03-26
03/26/2004 22:00:00,1.2,9.7,22:00:00,2004-03-26
03/26/2004 23:00:00,1.1,9.9,23:00:00,2004-03-26
03/27/2004 00:00:00,1.5,9.4,00:00:00,2004-03-27
03/27/2004 01:00:00,1,8.6,01:00:00,2004-03-27
03/27/2004 02:00:00,1.2,8.1,02:00:00,2004-03-27
03/27/2004 03:00:00,1.1,7.9,03:00:00,2004-03-27
03/27/2004 04:00:00,-200,7.4,04:00:00,2004-03-27
03/27/2004 05:00:00,0.8,8.2,05:00:00,2004-03-27
03/27/2004 06:00:00,0.9,6.3,06:00:00,2004-03-27
03/27/2004 07:00:00,1.1,7.2,07:00:00,2004-03-27
03/27/2004 08:00:00,1.5,7.2,08:00:00,2004-03-27
03/27/2004 09:00:00,1.8,11.1,09:00:00,2004-03-27
03/27/2004 10:00:00,2.1,15.5,10:00:00,2004-03-27
03/27/2004 11:00:00,2.1,17.8,11:00:00,2004-03-27
03/27/2004 12:00:00,1.9,17.6,12:00:00,2004-03-27
03/27/2004 13:00:00,2.1,19.1,13:00:00,2004-03-27
03/27/2004 14:00:00,2.5,17.7,14:00:00,2004-03-27
03/27/2004 15:00:00,1.9,17.8,15:00:00,2004-03-27
03/27/2004 16:00:00,2.2,18.7,16:00:00,2004-03-27
03/27/2004 17:00:00,2.3,17.1,17:00:00,2004-03-27
03/27/2004 18:00:00,2.7,15.8,18:00:00,2004-03-27
03/27/2004 19:00:00,3,14.7,19:00:00,2004-03-27
03/27/2004 20:00:00,2.8,13.6,20:00:00,2004-03-27
03/27/2004 21:00:00,2.2,12.5,21:00:00,2004-03-27
03/27/2004 22:00:00,1.6,11.8,22:00:00,2004-03-27
03/27/2004 23:00:00,2.1,10.9,23:00:00,2004-03-27
03/28/2004 00:00:00,2.3,10.9,00:00:00,2004-03-28
03/28/2004 01:00:00,2.3,10.3,01:00:00,2004-03-28
03/28/2004 02:00:00,1.7,9.3,02:00:00,2004-03-28
03/28/2004 03:00:00,2.2,8.2,03:00:00,2004-03-28
03/28/2004 04:00:00,1.3,8.3,04:00:00,2004-03-28
03/28/2004 05:00:00,0.8,9.6,05:00:00,2004-03-28
03/28/2004 06:00:00,1.1,7.7,06:00:00,2004-03-28
03/28/2004 07:00:00,1.4,7.4,07:00:00,2004-03-28
03/28/2004 08:00:00,1.3,9.7,08:00:00,2004-03-28
03/28/2004 09:00:00,1.9,12.5,09:00:00,2004-03-28
03/28/2004 10:00:00,2.3,16.8,10:00:00,2004-03-28
